pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,0.012849,0.024689,-1.09142,0.14863 
2.07,0.061469,0.077320,-1.46049,0.38702 
4.15,0.109330,0.153981,-1.84430,0.86529 
20.78,1.056654,1.206343,-6.83660,3.74215 
41.57,1.630666,1.576342,-9.72187,3.64517 
83.14,2.883933,2.709787,-20.95684,13.29925 
166.28,38.526761,57.158375,-217.27837,320.52184 
249.42,48511.191350,5750.960556,-255106.60387,19617.19556 
332.56,50599.862202,5847.068392,-263542.69642,19163.92336 
415.70,49271.748668,7869.723202,-257151.19308,16156.82590 
831.40,55248.764924,10469.504866,-277435.22131,33898.46159 
1662.80,53124.998591,8700.983109,-270437.28784,27668.05181 
2494.20,61047.727823,8278.359175,-303380.60936,28287.11778 
3325.60,61715.736541,3016.398593,-296852.29018,10392.66641 
4157.00,60946.412343,4728.661680,-301160.57233,9185.30174 
